adapter,lambda_k,p_k,t_max_ms,p_theoretical,p_empirical,delta_p,passed
adapter_0,3.188917323430852,0.4555596176329788,11489.179756005056,0.7999999999999999,0.80331,0.003309999999999924,True
adapter_1,1.708898480737726,0.24412835439110372,21439.56751609905,0.7999999999999999,0.7994,0.0006000000000000449,True
adapter_2,1.186408174919782,0.1694868821313974,30881.483397071857,0.7999999999999999,0.80106,0.0010599999999999499,True
adapter_3,0.9157760209116417,0.13082514584452024,40007.647633602515,0.7999999999999999,0.80055,0.0005499999999999394,True
