batch_idx,timestamp_s,war,gwar,promotion_fraction,n_star,n_tokens
132,3.8969,0.0,0.8842,0.7317,16,69
133,3.9262,0.0,0.0,0.0,16,51
134,3.9555,0.0,1.0,0.8835,16,48
135,3.9848,0.0,0.0,0.0,16,50
136,4.0141,0.0,1.0,0.9011,16,65
137,4.0434,0.0,0.0,0.0,16,45
138,4.0727,0.0,1.0,0.9639,16,44
139,4.102,0.0,0.0,0.0,16,51
140,4.1313,0.0,0.8449,0.6992,16,52
141,4.1606,0.0,0.9762,0.8078,16,40
142,4.1899,0.0,0.0,0.0,16,45
143,4.2192,0.0,0.6851,0.5669,16,57
144,4.2485,0.0,0.0,0.0,16,47
145,4.2778,0.0,0.0,0.0,16,54
146,4.3071,0.0,0.0,0.0,16,46
147,4.3364,0.0,0.8918,0.7379,16,52
148,4.3657,0.0,0.0,0.0,16,45
149,4.395,0.0,0.9101,0.7531,16,59
150,4.4243,0.0,0.9152,0.7573,16,48
151,4.4536,0.0,0.0,0.0,16,50
152,4.4829,0.0,0.0,0.0,16,50
153,4.5122,0.0,0.8134,0.6731,16,48
154,4.5415,0.0,0.9081,0.7515,16,43
155,4.5708,0.0,0.0,0.0,16,43
156,4.6001,0.0,0.0,0.0,16,55
157,4.6294,0.0,1.0,0.8975,16,45
158,4.6587,0.0,0.0,0.0,16,46
159,4.688,0.0,0.0,0.0,16,42
160,4.7173,0.0,0.0,0.0,16,57
161,4.7466,0.0,0.9091,0.7523,16,51
162,4.7759,0.0,0.8488,0.7024,16,46
163,4.8052,0.0,0.966,0.7993,16,48
164,4.8345,0.0,0.8679,0.7181,16,45
165,4.8638,0.0,0.8134,0.6731,16,51
166,4.8931,0.0,0.0,0.0,16,53
167,4.9224,0.0,0.8281,0.6852,16,56
168,4.9517,0.0,0.7859,0.6503,16,59
169,4.981,0.0,0.8449,0.6992,16,52
170,5.0103,0.0,0.6973,0.577,16,56
171,5.0396,0.0,0.0,0.0,16,42
172,5.0689,0.0,0.0,0.0,16,51
173,5.0982,0.0,0.8134,0.6731,16,51
174,5.1275,0.0,0.0,0.0,16,60
175,5.1568,0.0,0.0,0.0,16,48
176,5.1861,0.0,0.0,0.0,16,49
177,5.2154,0.0,0.7278,0.6022,16,57
178,5.2447,0.0,0.0,0.0,16,50
179,5.274,0.0,0.71,0.5875,16,55
180,5.3033,0.0,0.0,0.0,16,54
181,5.3326,0.0,0.0,0.0,16,43
182,5.3619,0.0,0.6287,0.5202,16,66
183,5.3912,0.0,0.0,0.0,16,43
184,5.4205,0.0,0.7153,0.5919,16,58
185,5.4498,0.0,0.0,0.0,16,45
186,5.4791,0.0,0.7885,0.6525,16,65
187,5.5084,0.0,0.8466,0.7006,16,49
188,5.5377,0.0,0.0,0.0,16,49
189,5.567,0.0,0.8918,0.7379,16,52
190,5.5963,0.0,0.9572,0.792,16,51
191,5.6256,0.0,1.0,0.8656,16,49
192,5.6549,0.0,0.9491,0.7854,16,54
193,5.6842,0.0,0.0,0.0,16,50
194,5.7135,0.0,0.8715,0.7212,16,70
195,5.7428,0.0,0.748,0.619,16,62
196,5.7721,0.0,0.7085,0.5863,16,62
197,5.8014,0.0,0.8613,0.7127,16,51
198,5.8307,0.0,0.0,0.0,16,58
199,5.86,0.0,0.0,0.0,16,51
200,5.8893,0.0,0.7988,0.661,16,55
201,5.9186,0.0,0.8134,0.6731,16,48
202,5.9479,0.0,0.7231,0.5984,16,54
203,5.9772,0.0,0.9572,0.792,16,51
204,6.0065,0.0,1.0,0.8656,16,56
205,6.0358,0.0,0.8488,0.7024,16,46
