tmax_ms,request_rate,K,tensor_parallel_size,war_mean,war_raw_mean,war_p10,war_p90,ttft_p50_ms,ttft_p99_ms,throughput_tok_s,duration_s,label,adapter_counts_json
0.0,3.0,4,1,0.0,0.0,0.0,0.0,16921.826895863836,70004.0183729725,483.3059892496617,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41467, ""adapter_1"": 46272, ""adapter_2"": 44343, ""adapter_3"": 45020}"
0.0,7.0,4,1,0.27945534730538923,0.14807459431407943,0.0,0.5,49008.84995180818,115410.3787910426,735.3755015823425,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41182, ""adapter_1"": 46286, ""adapter_2"": 44299, ""adapter_3"": 45030}"
0.0,10.0,4,1,0.30856810505450943,0.1903531932675566,0.0,0.5,59830.84267022078,117188.42786794994,729.0347324169086,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41188, ""adapter_1"": 46288, ""adapter_2"": 44358, ""adapter_3"": 44606}"
1.0,3.0,4,1,0.0,0.0,0.0,0.0,17504.037115717845,73339.8939629551,482.3629252362271,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41162, ""adapter_1"": 46271, ""adapter_2"": 44324, ""adapter_3"": 45008}"
1.0,7.0,4,1,0.2676254703891709,0.14094008274021352,0.0,0.5,49856.05917299834,115576.32971007843,718.872175468841,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41477, ""adapter_1"": 46283, ""adapter_2"": 44343, ""adapter_3"": 45027}"
1.0,10.0,4,1,0.3743909418604651,0.3743909418604651,0.0,0.571429,12585.26052084582,33375.86355698295,26.33899826627182,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 3498, ""adapter_1"": 3636, ""adapter_2"": 3860, ""adapter_3"": 3823}"
2.0,3.0,4,1,0.0,0.0,0.0,0.0,17462.246596180375,72970.44901899062,482.75395314479147,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41461, ""adapter_1"": 46256, ""adapter_2"": 44318, ""adapter_3"": 45006}"
2.0,7.0,4,1,0.2717773722316865,0.14253641168599465,0.0,0.5,50094.57969094352,115256.14286900964,726.940057972571,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41169, ""adapter_1"": 46282, ""adapter_2"": 44348, ""adapter_3"": 45037}"
2.0,10.0,4,1,0.3018719024630542,0.19325490718562874,0.0,0.5,60753.15766409494,116994.5321159903,685.4291877250603,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41485, ""adapter_1"": 46304, ""adapter_2"": 44359, ""adapter_3"": 44549}"
5.0,3.0,4,1,0.0,0.0,0.0,0.0,17828.194786940123,74005.26335195173,482.82121137767206,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41445, ""adapter_1"": 46260, ""adapter_2"": 44333, ""adapter_3"": 45000}"
5.0,7.0,4,1,0.26696949372384937,0.14714414617486338,0.0,0.5,52105.49165809074,114442.02300999314,672.7154388141754,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41179, ""adapter_1"": 46289, ""adapter_2"": 44355, ""adapter_3"": 44718}"
5.0,10.0,4,1,0.2996994211045365,0.19159536526946108,0.0,0.5,60694.99743719399,117850.09551199619,684.9752764533204,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41187, ""adapter_1"": 46307, ""adapter_2"": 44365, ""adapter_3"": 44545}"
10.0,3.0,4,1,0.0,0.0,0.0,0.0,17367.69558808166,72671.30094498862,483.2293425393939,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41451, ""adapter_1"": 46260, ""adapter_2"": 44326, ""adapter_3"": 45004}"
10.0,7.0,4,1,0.26048655369127516,0.14429222465753425,0.0,0.5,52081.331774800456,114962.06101390999,703.2681066914344,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41181, ""adapter_1"": 46305, ""adapter_2"": 44349, ""adapter_3"": 45036}"
10.0,10.0,4,1,0.288962254528122,0.17341914820846904,0.0,0.5,58797.91398444975,115507.3257960612,743.5765310873954,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41190, ""adapter_1"": 46305, ""adapter_2"": 44315, ""adapter_3"": 44708}"
20.0,3.0,4,1,0.0,0.0,0.0,0.0,17355.991377912305,72848.07789104525,483.38244614819666,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41457, ""adapter_1"": 46263, ""adapter_2"": 44323, ""adapter_3"": 45006}"
20.0,7.0,4,1,0.2742825347682119,0.147683526642984,0.0,0.5,53202.53051267493,114334.24756489694,660.6170005336791,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41181, ""adapter_1"": 46292, ""adapter_2"": 44348, ""adapter_3"": 45031}"
20.0,10.0,4,1,0.3088031463897132,0.19359512846199176,0.0,0.5,60710.14602703231,116795.08674400859,691.8194966497646,300,Single A6000 K=4 (TP=1),"{""adapter_0"": 41485, ""adapter_1"": 46303, ""adapter_2"": 44318, ""adapter_3"": 44540}"
