iteration,t_sec,phase,policy,war_observed,tmax_current,error_e_t,integral_term,proportional_term,tau_iter_ms,hardware_label,K,workload,spectral_radius
19,0.57,sinusoidal,Static_Tmax,0.822732,0.020936,-0.022732,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
20,0.6,sinusoidal,PI_adaptive,0.817337,0.020818,-0.017337,-0.0,-2.1e-05,30.0,single_a6000,4,sinusoidal,0.998494
20,0.6,sinusoidal,Static_Tmax,0.821085,0.020936,-0.021085,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
21,0.63,sinusoidal,PI_adaptive,0.788233,0.020832,0.011767,-0.0,1.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
21,0.63,sinusoidal,Static_Tmax,0.815367,0.020936,-0.015367,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
22,0.66,sinusoidal,PI_adaptive,0.805499,0.020825,-0.005499,-0.0,-7e-06,30.0,single_a6000,4,sinusoidal,0.998494
22,0.66,sinusoidal,Static_Tmax,0.815598,0.020936,-0.015598,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
23,0.69,sinusoidal,PI_adaptive,0.820567,0.020807,-0.020567,-0.0,-2.5e-05,30.0,single_a6000,4,sinusoidal,0.998494
23,0.69,sinusoidal,Static_Tmax,0.816196,0.020936,-0.016196,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
24,0.72,sinusoidal,PI_adaptive,0.815786,0.020789,-0.015786,-0.0,-1.9e-05,30.0,single_a6000,4,sinusoidal,0.998494
24,0.72,sinusoidal,Static_Tmax,0.813574,0.020936,-0.013574,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
25,0.75,sinusoidal,PI_adaptive,0.807054,0.02078,-0.007054,-0.0,-9e-06,30.0,single_a6000,4,sinusoidal,0.998494
25,0.75,sinusoidal,Static_Tmax,0.825346,0.020936,-0.025346,0.0,0.0,30.0,single_a6000,4,sinusoidal,N/A
26,0.78,sinusoidal,PI_adaptive,0.771944,0.020798,0.028056,-0.0,3.4e-05,30.0,single_a6000,4,sinusoidal,0.998494
